Kód produktu;Název;Nákupní cena;Prodejní cena;Mare Kè;Mare %;Multishop
59383/252611;Dìtské vyšívání;47.19;52.0;4.81;9.25;10
59383/252612;Dìtské vyšívání;46.58;0.0;-46.58;0;0
59383/252613;Dìtské vyšívání;47.19;52.0;4.81;9.25;10
59383/252614;Dìtské vyšívání;46.58;0.0;-46.58;0;0
59383/252615;Dìtské vyšívání;47.19;52.0;4.81;9.25;10
59383/252616;Dìtské vyšívání;46.58;52.0;5.42;10.42;10
59383/252617;Dìtské vyšívání;0.0;0.0;0.0;0;0
59383/252753;Dìtské vyšívání;46.58;52.0;5.42;10.42;10
59383/255308;Dìtské vyšívání;46.58;52.0;5.42;10.42;10
59383/282244;Dìtské vyšívání;30.25;51.1;20.85;40.8;40
59383/282245;Dìtské vyšívání;21.18;51.1;29.92;58.55;60
143196/190343;Spínací špendlík na pletení 7x22 mm;150.0;234.7;84.7;36.09;35
79081/190343;Spínací špendlík na pletení 7x22 mm;18.6;45.0;26.4;58.67;60
79273/190343;Spínací špendlík na pletení 7x22 mm;840.0;919.6;79.6;8.66;10
120234/194197;Spínací krouek na pletení;97.9;119.7;21.8;18.21;20
81529/194197;Spínací krouek na pletení;19.58;36.8;17.22;46.79;45
119012/211590;Plastové jehly délka 90 mm tupé;73.2;115.4;42.2;36.57;35
139608/211590;Plastové jehly délka 90 mm tupé;366.0;402.9;36.9;9.16;10
99314/211590;Plastové jehly délka 90 mm tupé;7.32;17.7;10.38;58.64;60
4556/106771;"Háèek na háèkování vel. 6; 7; 8; 9 a 10 Pony";26.02;41.0;14.98;36.54;35
4556/141672;"Háèek na háèkování vel. 6; 7; 8; 9 a 10 Pony";23.41;41.0;17.59;42.9;45
4556/141673;"Háèek na háèkování vel. 6; 7; 8; 9 a 10 Pony";23.41;41.0;17.59;42.9;45
4556/156309;"Háèek na háèkování vel. 6; 7; 8; 9 a 10 Pony";26.0;41.0;15.0;36.59;35
4556/188533;"Háèek na háèkování vel. 6; 7; 8; 9 a 10 Pony";26.02;41.0;14.98;36.54;35
4557/106771;"Háèek na háèkování vel. 6; 7; 8; 9 a 10 Pony";117.05;143.1;26.05;18.2;20
4557/141672;"Háèek na háèkování vel. 6; 7; 8; 9 a 10 Pony";117.05;0.0;-117.05;0;0
4557/141673;"Háèek na háèkování vel. 6; 7; 8; 9 a 10 Pony";117.05;0.0;-117.05;0;0
4557/156309;"Háèek na háèkování vel. 6; 7; 8; 9 a 10 Pony";117.05;0.0;-117.05;0;0
4557/188533;"Háèek na háèkování vel. 6; 7; 8; 9 a 10 Pony";117.05;0.0;-117.05;0;0
95958/106771;"Háèek na háèkování vel. 6; 7; 8; 9 a 10 Pony";468.2;0.0;-468.2;0;0
95958/141672;"Háèek na háèkování vel. 6; 7; 8; 9 a 10 Pony";468.2;0.0;-468.2;0;0
95958/141673;"Háèek na háèkování vel. 6; 7; 8; 9 a 10 Pony";468.2;0.0;-468.2;0;0
95958/156309;"Háèek na háèkování vel. 6; 7; 8; 9 a 10 Pony";468.2;0.0;-468.2;0;0
